Sum,YearEnd,Hour,WeekDay,HaveDeviceId,EuropeAsiaCountryIp,Refund
4.99,2019,5.566666666666666,5,1,0,1
21.09,2019,7.433333333333334,5,1,0,1
13.52,2019,7.533333333333333,5,1,0,1
4.99,2020,12.683333333333334,5,1,1,1
29.99,2017,14.8,5,1,0,1
29.95,2017,14.9,5,1,0,1
4.99,2019,18.45,5,1,1,1
14.71,2023,19.183333333333334,5,1,0,1
14.71,2023,19.366666666666667,5,1,0,1
13.8,2023,19.366666666666667,5,0,0,1
20.59,2023,19.416666666666668,5,1,0,1
29.99,2017,20.016666666666666,5,1,0,1
29.99,2018,20.683333333333334,5,1,0,1
29.42,2023,20.766666666666666,5,1,0,1
58.86,2023,21.216666666666665,5,1,0,1
46.12,2019,21.983333333333334,5,0,1,1
29.94,2019,2.4333333333333336,6,1,0,1
10.79,2018,4.366666666666666,6,1,1,1
24.99,2018,7.733333333333333,6,0,0,1
29.99,2017,11.283333333333333,6,1,0,1
29.99,2018,13.533333333333333,6,1,0,1
29.99,2019,14.466666666666667,6,1,0,1
5.99,2018,14.5,6,1,1,1
5.99,2018,14.633333333333333,6,1,1,1
29.95,2019,14.683333333333334,6,1,0,1
5.99,2018,16.9,6,1,1,1
5.25,2022,17.95,6,1,0,1
52.5,2022,18.033333333333335,6,1,0,1
5.99,2018,18.766666666666666,6,1,1,1
15.0,2019,18.816666666666666,6,1,0,0
29.99,2017,18.816666666666666,6,1,0,1
7.99,2019,18.816666666666666,6,1,0,0
4.99,2022,18.816666666666666,6,1,0,0
6.24,2018,18.816666666666666,6,1,1,0
7.99,2017,18.816666666666666,6,1,0,0
1.66,2018,18.816666666666666,6,0,1,0
19.95,2020,18.816666666666666,6,1,0,0
2.49,2019,18.833333333333332,6,1,0,0
30.0,2021,18.833333333333332,6,1,0,0
5.99,2019,18.833333333333332,6,1,1,0
15.35,2018,18.833333333333332,6,1,1,0
3.1,2017,18.833333333333332,6,1,0,0
35.37,2018,18.833333333333332,6,1,1,0
0.5,2017,18.833333333333332,6,0,1,0
6.14,2017,18.833333333333332,6,1,1,0
4.99,2019,18.833333333333332,6,1,1,0
8.37,2018,18.833333333333332,6,0,1,0
63.67,2017,18.833333333333332,6,1,1,0
4.99,2020,18.85,6,1,1,0
9.88,2019,18.85,6,1,1,0
4.97,2018,18.85,6,1,1,0
9.99,2020,18.85,6,1,0,0
19.95,2020,18.85,6,1,0,0
6.24,2018,18.85,6,0,1,0
4.99,2018,18.85,6,1,1,0
5.86,2026,18.85,6,1,1,0
4.99,2017,18.85,6,1,0,0
3.35,2018,18.85,6,1,1,0
21.35,2018,18.85,6,1,1,0
0.71,2020,18.85,6,0,1,0
28.8,2018,18.85,6,1,1,0
0.16,2018,18.85,6,0,1,0
29.66,2018,18.85,6,1,1,0
0.68,2017,18.85,6,1,1,0
4.99,2019,18.85,6,1,1,0
6.77,2018,18.85,6,1,1,0
199.99,2019,18.85,6,1,0,0
1.67,2021,18.85,6,1,1,0
5.33,2018,18.85,6,1,1,0
15.77,2020,18.85,6,1,0,0
78.94,2021,18.85,6,1,0,0
6.24,2017,18.85,6,1,1,0
24.66,2018,18.85,6,1,1,0
0.83,2018,18.866666666666667,6,0,1,0
4.99,2022,18.866666666666667,6,1,1,0
3.35,2018,18.866666666666667,6,1,1,0
12.88,2017,18.866666666666667,6,1,1,0
32.02,2021,18.866666666666667,6,1,1,0
24.74,2019,18.866666666666667,6,1,1,0
4.99,2019,18.866666666666667,6,1,1,0
12.67,2019,18.866666666666667,6,1,1,0
10.49,2018,18.866666666666667,6,1,1,0
6.14,2019,18.866666666666667,6,1,1,0
1.86,2019,18.866666666666667,6,1,1,0
9.99,2017,18.866666666666667,6,1,1,0
0.83,2019,18.866666666666667,6,1,1,0
1.67,2019,18.866666666666667,6,0,1,0
0.98,2019,18.866666666666667,6,1,1,0
4.02,2021,18.866666666666667,6,0,1,0
15.0,2019,18.866666666666667,6,1,0,0
10.53,2019,18.866666666666667,6,1,0,0
0.17,2020,18.866666666666667,6,0,1,0
6.24,2018,18.866666666666667,6,1,1,0
20.11,2018,18.866666666666667,6,0,1,0
0.41,2018,18.883333333333333,6,0,1,0
99.99,2018,18.883333333333333,6,1,0,0
0.12,2019,18.883333333333333,6,0,1,0
148.63,2019,18.883333333333333,6,1,1,0
4.99,2022,18.883333333333333,6,1,1,0
0.16,2017,18.883333333333333,6,0,1,0
2.34,2019,18.883333333333333,6,1,1,0
19.99,2019,18.883333333333333,6,1,0,0
0.98,2018,18.883333333333333,6,1,1,0
100.0,2021,18.883333333333333,6,1,0,0
6.77,2018,18.883333333333333,6,1,1,0
5.99,2019,18.883333333333333,6,1,1,0
12.06,2020,18.9,6,1,1,0
8.37,2019,18.9,6,0,1,0
0.3,2024,18.9,6,0,0,0
5.6,2020,18.9,6,1,1,0
8.37,2018,18.9,6,1,1,0
2.49,2023,18.9,6,1,1,0
32.02,2021,18.9,6,1,1,0
0.83,2017,18.9,6,0,1,0
0.83,2018,18.9,6,0,1,0
16.75,2017,18.9,6,1,1,0
1.99,2018,18.9,6,1,0,0
15.08,2021,18.9,6,0,1,0
33.51,2019,18.9,6,1,1,0
0.16,2019,18.9,6,0,1,0
5.02,2017,18.9,6,1,1,0
8.37,2021,18.9,6,1,1,0
49.99,2021,18.9,6,1,0,0
4.99,2021,18.916666666666668,6,0,0,0
7.2,2017,18.916666666666668,6,1,1,0
5.99,2017,18.916666666666668,6,1,1,0
15.0,2018,18.916666666666668,6,1,0,0
209.99,2018,18.916666666666668,6,1,1,0
14.99,2019,18.916666666666668,6,1,0,0
14.99,2019,18.916666666666668,6,1,1,0
10.66,2017,18.916666666666668,6,0,1,0
14.26,2017,18.916666666666668,6,0,1,0
4.9,2019,18.916666666666668,6,1,0,0
99.99,2017,18.916666666666668,6,1,0,0
1.67,2018,18.916666666666668,6,0,1,0
5.93,2018,18.916666666666668,6,1,1,0
0.16,2019,18.916666666666668,6,0,1,0
1.97,2019,18.916666666666668,6,1,1,0
9.99,2019,18.916666666666668,6,1,0,0
